,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,MinPerMatch,GoalsPerMatch
0,Mason Mount,Chelsea,ENG,"MF,FW",21,36,32,2890,6,5,1881,82.3,1,1,0.21,0.24,2,0,80.27777777777777,0.16666666666666666
1,Edouard Mendy,Chelsea,SEN,GK,28,31,31,2745,0,0,1007,84.6,0,0,0.0,0.0,2,0,88.54838709677419,0.0
2,Timo Werner,Chelsea,GER,FW,24,35,29,2602,6,8,826,77.2,0,0,0.41,0.21,2,0,74.34285714285714,0.17142857142857143
3,Ben Chilwell,Chelsea,ENG,DF,23,27,27,2286,3,5,1806,78.6,0,0,0.1,0.11,3,0,84.66666666666667,0.1111111111111111
4,Reece James,Chelsea,ENG,DF,20,32,25,2373,1,2,1987,85.0,0,0,0.06,0.12,3,0,74.15625,0.03125
5,César Azpilicueta,Chelsea,ESP,DF,30,26,24,2188,1,2,2015,87.5,0,0,0.03,0.11,5,1,84.15384615384616,0.038461538461538464
6,N'Golo Kanté,Chelsea,FRA,MF,29,30,24,2146,0,2,1504,86.6,0,0,0.04,0.05,7,0,71.53333333333333,0.0
7,Jorginho,Chelsea,ITA,MF,28,28,23,2010,7,1,1739,89.5,7,9,0.31,0.09,2,0,71.78571428571429,0.25
8,Thiago Silva,Chelsea,BRA,DF,35,23,23,1935,2,0,1871,93.5,0,0,0.05,0.02,5,1,84.1304347826087,0.08695652173913043
9,Kurt Zouma,Chelsea,FRA,DF,25,24,22,2029,5,0,1720,91.9,0,0,0.08,0.0,3,0,84.54166666666667,0.20833333333333334
10,Mateo Kovačić,Chelsea,CRO,MF,26,27,21,1815,0,1,1737,91.0,0,0,0.05,0.09,4,0,67.22222222222223,0.0
11,Antonio Rüdiger,Chelsea,GER,DF,27,19,19,1710,1,0,1476,90.7,0,0,0.06,0.02,0,0,90.0,0.05263157894736842
12,Christian Pulisic,Chelsea,USA,"FW,MF",21,27,18,1738,4,2,690,80.0,0,0,0.28,0.14,2,0,64.37037037037037,0.14814814814814814
13,Kai Havertz,Chelsea,GER,"MF,FW",21,27,18,1520,4,3,765,86.1,0,0,0.37,0.09,2,0,56.2962962962963,0.14814814814814814
14,Andreas Christensen,Chelsea,DEN,DF,24,17,15,1371,0,0,1089,92.8,0,0,0.01,0.02,2,1,80.6470588235294,0.0
15,Hakim Ziyech,Chelsea,MAR,"FW,MF",27,23,15,1172,2,3,734,74.7,0,0,0.15,0.28,3,0,50.95652173913044,0.08695652173913043
16,Tammy Abraham,Chelsea,ENG,FW,22,22,12,1040,6,1,218,68.3,0,0,0.56,0.07,0,0,47.27272727272727,0.2727272727272727
17,Marcos Alonso,Chelsea,ESP,DF,29,13,11,960,2,0,592,81.6,0,0,0.16,0.11,2,0,73.84615384615384,0.15384615384615385
18,Callum Hudson-Odoi,Chelsea,ENG,"FW,DF",19,23,10,1059,2,3,659,82.2,0,0,0.12,0.26,0,0,46.04347826086956,0.08695652173913043
19,Olivier Giroud,Chelsea,FRA,FW,33,17,8,748,4,0,217,74.2,0,0,0.58,0.09,1,0,44.0,0.23529411764705882
20,Kepa Arrizabalaga,Chelsea,ESP,GK,25,7,6,585,0,0,243,81.5,0,0,0.0,0.0,1,0,83.57142857142857,0.0
21,Billy Gilmour,Chelsea,SCO,MF,19,5,3,261,0,0,215,89.3,0,0,0.01,0.04,0,0,52.2,0.0
22,Willy Caballero,Chelsea,ARG,GK,38,1,1,90,0,0,26,92.3,0,0,0.0,0.0,0,0,90.0,0.0
23,Ruben Loftus-Cheek,Chelsea,ENG,FW,24,1,1,60,0,0,16,68.8,0,0,0.0,0.0,0,0,60.0,0.0
24,Emerson Palmieri,Chelsea,ITA,DF,25,2,0,90,0,0,63,81.0,0,0,0.0,0.0,0,0,45.0,0.0
25,Fikayo Tomori,Chelsea,ENG,DF,22,1,0,45,0,0,29,93.1,0,0,0.0,0.0,0,0,45.0,0.0
26,Ross Barkley,Chelsea,ENG,MF,26,2,0,42,0,0,26,84.6,0,0,0.06,0.16,0,0,21.0,0.0
27,Ederson,Manchester City,BRA,GK,26,36,36,3240,0,1,1090,83.1,0,0,0.0,0.01,3,0,90.0,0.0
28,Rúben Dias,Manchester City,POR,DF,23,32,32,2843,1,0,2671,93.6,0,0,0.07,0.0,4,0,88.84375,0.03125
29,Rodri,Manchester City,ESP,MF,24,34,31,2748,2,2,2728,91.5,1,1,0.08,0.06,6,0,80.82352941176471,0.058823529411764705
30,Raheem Sterling,Manchester City,ENG,FW,25,31,28,2536,10,7,1127,85.4,0,1,0.43,0.17,4,0,81.80645161290323,0.3225806451612903
31,João Cancelo,Manchester City,POR,DF,26,28,27,2299,2,3,2094,85.7,0,0,0.08,0.19,5,1,82.10714285714286,0.07142857142857142
32,Bernardo Silva,Manchester City,POR,"MF,FW",25,26,24,2065,2,6,1427,89.7,0,0,0.12,0.16,5,0,79.42307692307692,0.07692307692307693
33,İlkay Gündoğan,Manchester City,GER,MF,29,28,23,2029,13,2,1707,91.0,1,2,0.4,0.2,1,0,72.46428571428571,0.4642857142857143
34,Kevin De Bruyne,Manchester City,BEL,MF,29,25,23,1997,6,12,1406,76.0,2,3,0.44,0.46,1,0,79.88,0.24
35,Riyad Mahrez,Manchester City,ALG,FW,29,27,23,1949,9,6,1086,84.2,0,0,0.26,0.27,0,0,72.18518518518519,0.3333333333333333
36,Gabriel Jesus,Manchester City,BRA,FW,23,29,22,2063,9,4,754,84.6,0,0,0.38,0.15,2,0,71.13793103448276,0.3103448275862069
37,Kyle Walker,Manchester City,ENG,DF,30,24,22,1946,1,1,1897,89.4,0,0,0.01,0.02,1,0,81.08333333333333,0.041666666666666664
38,John Stones,Manchester City,ENG,DF,26,22,22,1933,4,0,1713,94.3,0,0,0.1,0.0,0,1,87.86363636363636,0.18181818181818182
39,Phil Foden,Manchester City,ENG,"FW,MF",20,28,17,1616,9,5,838,82.0,0,0,0.31,0.23,0,0,57.714285714285715,0.32142857142857145
40,Oleksandr Zinchenko,Manchester City,UKR,DF,23,20,15,1478,0,0,1475,90.2,0,0,0.04,0.08,0,0,73.9,0.0
41,Ferrán Torres,Manchester City,ESP,"FW,MF",20,24,15,1306,7,2,442,81.4,0,0,0.37,0.13,1,0,54.416666666666664,0.2916666666666667
42,Aymeric Laporte,Manchester City,FRA,DF,26,16,14,1344,0,0,1261,92.0,0,0,0.05,0.05,1,0,84.0,0.0
43,Fernandinho,Manchester City,BRA,MF,35,21,12,1188,0,2,1001,87.8,0,0,0.06,0.07,6,0,56.57142857142857,0.0
44,Benjamin Mendy,Manchester City,FRA,DF,26,13,11,953,2,1,651,81.7,0,0,0.04,0.04,2,0,73.3076923076923,0.15384615384615385
45,Nathan Aké,Manchester City,NED,DF,25,10,9,797,1,0,755,93.0,0,0,0.01,0.0,4,0,79.7,0.1
46,Sergio Agüero,Manchester City,ARG,"FW,MF",32,12,7,559,4,1,170,84.1,1,2,0.54,0.21,0,0,46.583333333333336,0.3333333333333333
47,Eric García,Manchester City,ESP,DF,19,6,3,383,0,0,344,93.6,0,0,0.03,0.02,0,0,63.833333333333336,0.0
